,title,price,rating,replyCount,category,item0,item1,item2,item3
56,[아가프라] 캡틴 매직볼/딸랑이/치발기/신생아장난감/오볼,0.015868351454598886,0.9,0.0003134304967873374,0.0,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,[AKMALL2] 바니랜드-체스 아카데미,[바니랜드] 바니랜드 꼬마버스타요 삑삑이3종세트/타요삑삑이세트
57,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,0.012929767851895388,0.9,0.009559630152013792,0.0,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,조이매스 3D미노스큐브,[바니랜드] 바니랜드 꼬마버스타요 삑삑이3종세트/타요삑삑이세트
58,[오로라월드] 오로라 피그 카우 플레이백 딸랑이 삑삑이/봉제인형,0.0107552159858948,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아
59,[한립토이스] 한립토이즈 아기방울세트 8종세트/딸랑이/청각,0.02027622685865413,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[베이비캠프] 베이비캠프 미니 롤러코스터
60,[진영토이] 목욕 놀이 오리와친구들 세트/거북이/모래/장난감,0.008668821627975316,0.7000000000000001,0.0001567152483936687,0.0,[아모스] 아모스 정말 부드러운 아모스 파스넷 프리미엄 크레파스 36색,[AKMALL2] (인텍스)166cm 사각형 유아용 풀장,[롯데아이몰] BEBE 8종 딸랑이세트,은성 항균 통 딸랑이 8종세트/신생아완구.나팔 치발기
61,[헬로베이비] 통 딸랑이7종세트 딸랑이/곰파스텔/은나노/베어5종,0.018219218336761683,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기
62,[아가프라] 바나나치발기/치발기/신생아장난감/아기,0.009550396708786366,0.9,0.003761165961448049,0.0,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,[바니랜드] 바니랜드 꼬마버스타요 삑삑이3종세트/타요삑삑이세트,[AKMALL2] 바니랜드-체스 아카데미
63,[베이비웰빙] 피셔프라이스/프랜들리폴더폰/폴더폰/핸드폰/유아폰/리틀타익스/탬버린/아기탬버린/리틀타익스 탬버린/,0.019541580957978255,1.0,0.0003134304967873374,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[더블하트] 유아용 입술치발기,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기
64,[플레이그로] 플레이그로 뉴 촉각벤디 볼/감각발달/신상품,0.015280634734058185,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아
65,별 회전딸랑이 손가락 치발딸랑이/ 치아발육기 치발기,0.004554804584190421,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,[홈타이푼] 슈퍼캐치볼 찍찍이캐치볼 캐치볼 catchball 공놀이 공,[더블하트] 유아용 입술치발기
66,피셔프라이스 뮤직 달팽이,0.06523655598001764,1.0,0.0,0.0,아가프라/매직볼/치발기/오볼/딸랑이/아기장난감/공,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[압소바] 티노딸랑이세트(ARA-36622)(갤러리아)
67,[치코] 치코 헬기치발딸랑이(56122),0.013341169556273876,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아
68,베이비아인슈타인 애벌레 음악놀이/테이크 어롱 튠즈,0.028945048486629446,0.7000000000000001,0.0,0.0,[아모스] 아모스 정말 부드러운 아모스 파스넷 프리미엄 크레파스 36색,[AKMALL2] (인텍스)166cm 사각형 유아용 풀장,[롯데아이몰] BEBE 8종 딸랑이세트,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기
69,[한립토이스] 한립토이즈 아기종합방울세트/딸랑이/청각/아기방울,0.031002057008521895,1.0,0.0001567152483936687,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[더블하트] 유아용 입술치발기,아가프라/매직볼/치발기/오볼/딸랑이/아기장난감/공
70,친환경 유아 딸랑이 세트/옥수수전분 만듬/신생아완구,0.040846312077578606,1.0,0.0,0.0,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,아가프라/매직볼/치발기/오볼/딸랑이/아기장난감/공,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음
71,[맨하탄토이] 맨하탄토이/윈켈/손감각발달/감각발달완구/오감자극,0.05715545107258302,1.0,0.0,0.0,[피플] 피플 투모로우 아기띠 안아주기 전용 손가락 놀이 커버,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[압소바] 티노딸랑이세트(ARA-36622)(갤러리아)
72,레드박스 요술볼,0.015721422274463707,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기
73,[redbox] 레드박스 요술볼(딸랑이 23255) 차임볼,0.012048192771084338,1.0,0.0001567152483936687,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[더블하트] 유아용 입술치발기
